"Local", "Pessoal ocupado em postos de trabalho formais"
"Jucás", 2084
"Senador Sá", 845
"Morada Nova", 12212
"Chaval", 1700
"Pentecoste", 4478
"Camocim", 8354
"Chorozinho", 2436
"Nova Olinda", 1901
"Choró", 734
"Cascavel", 11823
"Beberibe", 7374
"Ibiapina", 2141
"Ibicuitinga", 1186
"Itatira", 1367
"Potengi", 938
"Baixio", 527
"Alcântaras", 1029
"Banabuiú", 2072
"Quiterianópolis", 2148
"Icapuí", 4303
"Potiretama", 904
"Coreaú", 1997
"Martinópole", 1045
"Pacatuba", 11155
"Pereiro", 4975
"Uruburetama", 3177
"Groaíras", 1449
"São João do Jaguaribe", 680
"Missão Velha", 5295
"Aquiraz", 24011
"Pindoretama", 3229
"Guaiúba", 2657
"Catarina", 1156
"Bela Cruz", 2372
"Jardim", 2420
"Jaguaretama", 1645
"Quixadá", 11403
"Barbalha", 14280
"Altaneira", 1001
"Palhano", 1507
"Solonópole", 3082
"Catunda", 1237
"Icó", 6413
"Barreira", 1823
"Crateús", 10560
"Pacoti", 1399
"Uruoca", 805
"Jati", 926
"General Sampaio", 922
"São Luís do Curu", 1027
"Varjota", 3092
"Mombaça", 3793
"Russas", 13425
"Caucaia", 56290
"Graça", 918
"Pedra Branca", 3598
"Santa Quitéria", 6807
"Jijoca de Jericoacoara", 7557
"Tururu", 1598
"Mucambo", 1843
"Várzea Alegre", 4300
"Cariús", 1297
"Barro", 1911
"Guaramiranga", 1232
"Itapipoca", 18996
"Barroquinha", 1679
"Poranga", 1325
"Assaré", 2017
"Acopiara", 4671
"Capistrano", 1571
"Maranguape", 15574
"Orós", 1960
"Saboeiro", 1644
"Penaforte", 1188
"Ubajara", 3723
"Granja", 5037
"São Benedito", 6508
"Meruoca", 1673
"Salitre", 2098
"Carnaubal", 1745
"Baturité", 5062
"Viçosa do Ceará", 4789
"Itapiúna", 1008
"Porteiras", 1754
"Aurora", 2097
"Aiuaba", 1428
"Itarema", 4264
"Hidrolândia", 1651
"Ibaretama", 1155
"Marco", 4190
"Horizonte", 23412
"Granjeiro", 701
"Pacajus", 11116
"Umari", 850
"Jaguaruana", 5058
"São Gonçalo do Amarante", 17763
"Ipaumirim", 1335
"Umirim", 1599
"Fortaleza", 954678
"Milagres", 2936
"Miraíma", 1701
"Redenção", 3173
"Milhã", 904
"Fortim", 3056
"Parambu", 3362
"Apuiarés", 951
"Tauá", 7688
"Tejuçuoca", 1818
"Santana do Acaraú", 2464
"Cariré", 1633
"Sobral", 57898
"Itaiçaba", 910
"Moraújo", 903
"Aratuba", 1285
"Abaiara", 1694
"Itaitinga", 12722
"Campos Sales", 2939
"Lavras da Mangabeira", 2626
"Nova Russas", 3982
"Acarape", 1953
"Reriutaba", 2039
"Paramoti", 943
"Tianguá", 13461
"Ipu", 4852
"Frecheirinha", 4956
"Santana do Cariri", 1429
"Massapê", 4300
"Caririaçu", 2144
"Itapajé", 6123
"Arneiroz", 678
"Acaraú", 7021
"Quixelô", 1505
"Guaraciaba do Norte", 3891
"Limoeiro do Norte", 12433
"Morrinhos", 2377
"Madalena", 1871
"Aracati", 13862
"Piquet Carneiro", 1440
"Canindé", 10512
"Ipueiras", 2819
"Maracanaú", 76953
"Novo Oriente", 2406
"Ocara", 1578
"Pires Ferreira", 1018
"Boa Viagem", 4860
"Trairi", 5865
"Iguatu", 19214
"Crato", 22341
"Mauriti", 4684
"Quixeramobim", 17361
"Cruz", 4435
"Alto Santo", 2181
"Palmácia", 957
"Tabuleiro do Norte", 3557
"Croatá", 1131
"Eusébio", 56433
"Deputado Irapuan Pinheiro", 960
"Ereré", 736
"Jaguaribara", 1366
"Pacujá", 985
"Amontada", 4589
"Iracema", 1414
"Senador Pompeu", 3619
"Monsenhor Tabosa", 1843
"Aracoiaba", 3781
"Ararendá", 1338
"Cedro", 1968
"Brejo Santo", 10910
"Juazeiro do Norte", 67096
"Mulungu", 1009
"Quixeré", 4113
"Paracuru", 5166
"Antonina do Norte", 789
"Tamboril", 2064
"Independência", 2005
"Farias Brito", 1612
"Ipaporanga", 1323
"Jaguaribe", 4844
"Paraipaba", 5404
"Forquilha", 3022
"Caridade", 1567
"Tarrafas", 733
"Irauçuba", 1841
"Araripe", 1484
