"Local", "Taxa de escolarização de 6 a 14 anos de idade"
"Jucás", 97.74
"Senador Sá", 99.1
"Morada Nova", 98.55
"Chaval", 100
"Pentecoste", 98.42
"Camocim", 98.31
"Chorozinho", 98.25
"Nova Olinda", 99.2
"Choró", 98.81
"Cascavel", 98.52
"Beberibe", 98.77
"Ibiapina", 98.76
"Ibicuitinga", 100
"Itatira", 98.36
"Potengi", 99.36
"Baixio", 98.68
"Alcântaras", 99.2
"Banabuiú", 93.94
"Quiterianópolis", 99.53
"Icapuí", 99.57
"Potiretama", 99.45
"Coreaú", 96.88
"Martinópole", 99.62
"Pacatuba", 98.83
"Pereiro", 99.26
"Uruburetama", 98.74
"Groaíras", 99.27
"São João do Jaguaribe", 99.54
"Missão Velha", 99.16
"Aquiraz", 98.61
"Pindoretama", 99.23
"Guaiúba", 99.18
"Catarina", 99.52
"Bela Cruz", 99.14
"Jardim", 98.49
"Jaguaretama", 98.38
"Quixadá", 99.27
"Barbalha", 98.91
"Altaneira", 100
"Palhano", 97.94
"Solonópole", 97.31
"Catunda", 98.61
"Icó", 97.56
"Barreira", 97.88
"Crateús", 99.77
"Pacoti", 99.09
"Uruoca", 98.39
"Jati", 98.46
"General Sampaio", 99.38
"São Luís do Curu", 99.67
"Varjota", 98.49
"Mombaça", 99.23
"Russas", 98.75
"Caucaia", 98.32
"Graça", 98.94
"Pedra Branca", 98.77
"Santa Quitéria", 99.78
"Jijoca de Jericoacoara", 99.34
"Tururu", 98.63
"Mucambo", 99.27
"Várzea Alegre", 98.59
"Cariús", 99.76
"Barro", 99.14
"Guaramiranga", 93.77
"Itapipoca", 98.72
"Barroquinha", 96.06
"Poranga", 100
"Assaré", 99.55
"Acopiara", 99.45
"Capistrano", 99.54
"Maranguape", 98.11
"Orós", 99.77
"Saboeiro", 99.45
"Penaforte", 100
"Ubajara", 98.46
"Granja", 98.3
"São Benedito", 98.62
"Meruoca", 99.26
"Salitre", 97.74
"Carnaubal", 99.63
"Baturité", 99.01
"Viçosa do Ceará", 98.81
"Itapiúna", 97.47
"Porteiras", 99.83
"Aurora", 99.23
"Aiuaba", 98.87
"Itarema", 98.53
"Hidrolândia", 100
"Ibaretama", 97.43
"Marco", 96.06
"Horizonte", 98.75
"Granjeiro", 99.57
"Pacajus", 98.78
"Umari", 97.24
"Jaguaruana", 96.74
"São Gonçalo do Amarante", 97.98
"Ipaumirim", 92.96
"Umirim", 98.37
"Fortaleza", 97.98
"Milagres", 99.39
"Miraíma", 98.55
"Redenção", 98.81
"Milhã", 98.94
"Fortim", 99.23
"Parambu", 98.25
"Apuiarés", 98.27
"Tauá", 98.9
"Tejuçuoca", 98.68
"Santana do Acaraú", 99.16
"Cariré", 98.77
"Sobral", 98.98
"Itaiçaba", 99.7
"Moraújo", 99.56
"Aratuba", 98.77
"Abaiara", 99.69
"Itaitinga", 99.9
"Campos Sales", 99.71
"Lavras da Mangabeira", 98.99
"Nova Russas", 99.55
"Acarape", 97.64
"Reriutaba", 99.04
"Paramoti", 99.21
"Tianguá", 99.23
"Ipu", 99.34
"Frecheirinha", 98.28
"Santana do Cariri", 99.34
"Massapê", 99.41
"Caririaçu", 99.83
"Itapajé", 99.12
"Arneiroz", 99.45
"Acaraú", 99.45
"Quixelô", 99.79
"Guaraciaba do Norte", 98.51
"Limoeiro do Norte", 99.67
"Morrinhos", 98.74
"Madalena", 97.94
"Aracati", 98.76
"Piquet Carneiro", 99.65
"Canindé", 99.23
"Ipueiras", 96.94
"Maracanaú", 98.83
"Novo Oriente", 99.68
"Ocara", 99.73
"Pires Ferreira", 99.56
"Boa Viagem", 99.03
"Trairi", 99.15
"Iguatu", 99.44
"Crato", 99.03
"Mauriti", 98.43
"Quixeramobim", 99.41
"Cruz", 99.57
"Alto Santo", 99.33
"Palmácia", 97.42
"Tabuleiro do Norte", 99.74
"Croatá", 99.31
"Eusébio", 99.34
"Deputado Irapuan Pinheiro", 98.51
"Ereré", 99.24
"Jaguaribara", 98.54
"Pacujá", 99.34
"Amontada", 96.15
"Iracema", 99.63
"Senador Pompeu", 99.42
"Monsenhor Tabosa", 98.99
"Aracoiaba", 99.22
"Ararendá", 98.31
"Cedro", 100
"Brejo Santo", 99.16
"Juazeiro do Norte", 98.84
"Mulungu", 99.59
"Quixeré", 99.25
"Paracuru", 99.12
"Antonina do Norte", 99.08
"Tamboril", 100
"Independência", 99.7
"Farias Brito", 100
"Ipaporanga", 98.05
"Jaguaribe", 99.67
"Paraipaba", 99.26
"Forquilha", 99.4
"Caridade", 98.75
"Tarrafas", 100
"Irauçuba", 98.23
"Araripe", 98.26
